energy_type,model,training_cutoff,horizon,forecast_month,actual_index,predicted_index,error,absolute_error,pct_error,smape,model_params
electricity,deterministic_trend,2024-07,3,2024-10,126.5,128.1435,1.6435,1.6435,1.2992,1.2908,"{""series_id"": ""electricity"", ""annual_rate"": 0.03, ""monthly_rate"": 0.0024662698, ""last_value"": 127.2}"
electricity,ets,2024-07,3,2024-10,126.5,129.8278,3.3278,3.3278,2.6306,2.5965,"{""selected_config"": ""Ad,A"", ""aic"": 108.0722, ""n_failures"": 0}"
electricity,sarima,2024-07,3,2024-10,126.5,130.1702,3.6702,3.6702,2.9014,2.8599,"{""order"": [0, 1, 1], ""seasonal_order"": [0, 1, 1, 12], ""label"": ""(0,1,1)x(0,1,1)[12]"", ""aic"": 194.2051, ""n_failures"": 0}"
electricity,constant,2024-07,6,2025-01,124.8,127.2,2.4,2.4,1.9231,1.9048,"{""last_value"": 127.2}"
electricity,deterministic_trend,2024-07,6,2025-01,124.8,129.0939,4.2939,4.2939,3.4406,3.3824,"{""series_id"": ""electricity"", ""annual_rate"": 0.03, ""monthly_rate"": 0.0024662698, ""last_value"": 127.2}"
electricity,ets,2024-07,6,2025-01,124.8,132.8088,8.0088,8.0088,6.4173,6.2178,"{""selected_config"": ""Ad,A"", ""aic"": 108.0722, ""n_failures"": 0}"
electricity,sarima,2024-07,6,2025-01,124.8,133.9303,9.1303,9.1303,7.3159,7.0578,"{""order"": [0, 1, 1], ""seasonal_order"": [0, 1, 1, 12], ""label"": ""(0,1,1)x(0,1,1)[12]"", ""aic"": 194.2051, ""n_failures"": 0}"
electricity,constant,2024-07,12,2025-07,124.6,127.2,2.6,2.6,2.0867,2.0651,"{""last_value"": 127.2}"
electricity,deterministic_trend,2024-07,12,2025-07,124.6,131.016,6.416,6.416,5.1493,5.02,"{""series_id"": ""electricity"", ""annual_rate"": 0.03, ""monthly_rate"": 0.0024662698, ""last_value"": 127.2}"
electricity,ets,2024-07,12,2025-07,124.6,130.4476,5.8476,5.8476,4.6931,4.5855,"{""selected_config"": ""Ad,A"", ""aic"": 108.0722, ""n_failures"": 0}"
electricity,sarima,2024-07,12,2025-07,124.6,134.0234,9.4234,9.4234,7.5629,7.2873,"{""order"": [0, 1, 1], ""seasonal_order"": [0, 1, 1, 12], ""label"": ""(0,1,1)x(0,1,1)[12]"", ""aic"": 194.2051, ""n_failures"": 0}"
electricity,constant,2024-08,1,2024-09,126.7,126.9,0.2,0.2,0.1579,0.1577,"{""last_value"": 126.9}"
electricity,deterministic_trend,2024-08,1,2024-09,126.7,127.213,0.513,0.513,0.4049,0.4041,"{""series_id"": ""electricity"", ""annual_rate"": 0.03, ""monthly_rate"": 0.0024662698, ""last_value"": 126.9}"
electricity,ets,2024-08,1,2024-09,126.7,127.5531,0.8531,0.8531,0.6733,0.6711,"{""selected_config"": ""Ad,A"", ""aic"": 108.4469, ""n_failures"": 0}"
electricity,sarima,2024-08,1,2024-09,126.7,127.3227,0.6227,0.6227,0.4915,0.4903,"{""order"": [0, 1, 1], ""seasonal_order"": [0, 1, 1, 12], ""label"": ""(0,1,1)x(0,1,1)[12]"", ""aic"": 198.1014, ""n_failures"": 0}"
